cut,color,depth,price,carat
Fair,F,65.3,medium,0.7
Good,I,64.6,medium,0.83
Good,F,57.8,medium,0.71
Good,F,63.8,medium,0.71
Good,D,63.3,medium,0.71
Good,F,57.8,medium,0.71
Good,F,63.8,medium,0.71
Fair,F,61.1,medium,0.74
Good,I,64.3,medium,0.91
Good,D,64,medium,0.72
Good,F,59.1,medium,0.7
Fair,D,56.9,medium,0.71
Good,I,64.3,medium,0.91
Good,D,62.3,medium,0.71
Good,F,60.3,medium,0.77
Fair,I,64.1,medium,0.9
Good,D,63.4,medium,0.7
Good,D,63.9,high,0.7
Good,D,64.1,high,0.7
Fair,I,64.4,high,0.92
Good,D,58,high,0.7
Fair,D,64.7,high,0.71
Good,D,57.7,high,0.7
Good,D,63.2,high,0.7
Good,D,63.9,high,0.7
Good,D,64.1,high,0.7
Good,I,62.4,high,0.9
Good,I,62.4,high,0.9
Fair,I,57.3,high,0.87
Fair,F,65,high,0.84
Fair,I,56.1,high,0.96
Good,I,63.7,high,0.9
Good,I,63.8,high,0.9
Fair,I,65.4,high,0.9
Fair,I,64.7,high,0.93
Fair,I,65.7,high,1
Good,F,60.5,high,0.8
Good,I,64.2,high,0.91
Good,D,64,high,0.78
Good,I,63.7,high,0.9
Good,I,63.8,high,0.9
Good,I,58.5,high,0.9
Good,F,60.9,high,0.82
Good,I,62.5,high,0.9
Good,D,64.3,high,0.77
Good,F,63.2,high,0.8
Good,D,63.5,high,0.76
Good,D,63.1,high,0.77
Good,D,59.9,premium,0.7
Fair,I,68.7,premium,1.01
Good,D,57.9,premium,0.9
Good,I,63.6,premium,1.01
Good,I,57.1,premium,1.01
Good,I,58,premium,0.91
Fair,F,65.7,premium,0.9
Good,I,59.6,premium,0.92
Fair,F,66.8,premium,0.91
Good,F,63.7,premium,0.96
Fair,D,57.5,premium,0.9
Fair,F,64.7,premium,0.9
Good,I,58.2,premium,0.93
Fair,F,58.9,premium,0.9
